content;score;thumbsUpCount;at;appVersion
cest une application vraiment génial que je recommande on peut voir les dernières sorties de ses artistes préférées à laccueil et le fait de pouvoir télécharger les playlist et les albums maident beaucoup lorsque je suis hors connexion en revanche lorsque je veux intervenir sur un morceau en cours de lecture pause ou avancer dans la musique je dois fermer lapplication pour bug régulièrement;4;1178;03/06/2024;8.9.44.368
ce nouvel affichage avec un système sur le principe de story est juste insupportable avant on avait un affichage clair des différentes propositions sur laccueil maintenant cest juste horrible je vais sur spotify pour écouter de la musique pas pour taper sur la gauche ou la droite de mon écran pour faire défiler des trucs que je ne veux pas forcément;5;1152;15/03/2024;8.9.22.539
bien que pleine dintérêt et facile dusage lapplication android souffre dun gros bug et ce depuis des mois musique qui se coupe en pleine lecture sur wifi ou 4g même les playlists synchronisées impossible denchaîner une playlist sans coupures avec un abonnement payant et lexistence de concurrents on est en droit de sattendre à ce que ce type de problème narrive pas ou soit réglé au plus vite décevant;1;1134;25/07/2019;8.5.15.885
alors tout était très bien malgré un ou deux titres manquants puis les pubs longues et impossible à passés sont arrivés ainsi que limpossibilité de passer plus de 6 musique par heure ou découter seulement une partie de la musique cest une bonne appli pour les personnes pouvant payer pour les autres cest plutôt médiocre et jen suis la première déçu;3;1096;22/06/2022;8.7.38.671
très bonne application un large choix de contenus et même en tant que nonutilisatrice du premium je peux affirmer que lappli est très utile on a quand meme accès à pas mal de choses cependant lordre de lecture est forcément aléatoire ce qui nest pas si terrible en soit personnellement jécoute peu de musique sur cette application je viens surtout pour le choix de podcast qui mintéresse fortement;5;1047;01/09/2024;8.9.66.543
application musique impossible à utiliser depuis quelques semaines quand je clique sur le bouton play dun single ou album cest un autre titre que celui que je sélectionne qui démarre impossible de visualiser la playlist en cours de lecture non plus linterface naide pas tout est brouillon dans les playlists on ne peut rien trier bref pour une appli de streaming musical zéro utilité par contre pour les podcasts aucun soucis tout va bien;2;1042;10/07/2022;8.7.44.968
je navais jamais eu de soucis jusquà il y a peu jai même un compte premium car jai toujours été très satisfait de lapplication cela fait une semaine que je ne sais plus mettre mes musiques en pause ni passer une musique ou revenir en arrière la barre qui permet de gérer tout à disparu pareil de lécran de veille je nai accès à rien jai fait les mises à jour déinstallé lappli réinstallé éteint mon téléphonele problème persiste si quelquun a une solution je prends;3;1010;20/04/2022;8.7.22.1125
je mets 5 étoiles concernant labonnement car il ny a plus de pub mais malheureusement pour ceux qui ne payent pas ces derniers doivent subir sans cesse les pubs ce qui gâche un peu le plaisir dutiliser lapplication et lécoute des musiques que lon a recherché et mis en route cependant ne changez rien concernant lutilisation de cette application avec labonnement car cest tout simplement intuitif et agréable petit bémol la co alors que je suis co sur wifi et la musique qui sarrête;3;997;27/11/2020;8.4.98.892
depuis que jutilise spotify je nai pas rencontré de problème majeur mais depuis la dernière mise à jour impossible découter mes musiques en mode aléatoire pourtant le mode aléatoire est bien activé mais quand je veux recommencer un autre tour aléatoire la chanson se met seulement sur pause puis reprend sa lecture pareil quand je veux écouter un titre en particulier aucune possibilité de lancer une lecture aléatoire je nai pas dautre choix que découter les chansons dans lordre;3;987;18/05/2022;8.7.30.1221
depuis la dernière mise à jour lapplication se coupe toute seule au bout de qqs minutes que ce soit en bluetooth ou pas cest vraiment la plaie et quand jouvre lappli après cette coupure elle ne mindique pas la dernière chanson écoutée bref je trouve que lapplication fonctionne ne moins en moins bienet vu le prix quon paie cest vraiment rageant;1;978;11/04/2022;8.7.20.1261
application géniale lorsque lon souscrit à un abonnement car les pubs et les lectures aléatoires uniquement sur portable sont pour ma part insupportables elle permet découter nos titres favoris et de les télécharger pour les écouter quand on na plus internet les playlists créés à nos goûts est une bonne idée sinon il ny a pas de bug a déclaré et elle est souvent mise a jours juste un hic c est le manque de parole malgré le be genius malgré sa elle est parfaitetesté et approuvé;5;921;07/05/2019;8.5.4.770
jadorais spotify mais la dernière maj est une catastrophe la page albums est horriblement longue à charger le tri ne répond à aucune logique et la liste des derniers albums écoutés a disparu peutêtre quil y a des améliorations pour ceux qui se font des playlists mais moi mon utilisation cétait découter des albums entiers et cest devenu extrêmement pénible à faire depuis cette horrible mise à jour rendeznous une interface simple dutilisation et rapide à charger;1;913;09/07/2019;8.5.13.637
depuis la nouvelle mise à jour spotify est devenu une vraie catastrophe pour les nonpremiums on ne peut plus voir les sons suivantprécédent dans nos playlists lapplication nous rajoute des sons comme ça dans nos playlists alors que nous navons touché à rien enfin bref la seule chose que nous pouvons faire cest écouter des sons au hasard ce qui nest pas très intéressant jespère que ce sera vite réglé car bien quon ne paye pas il ne faut pas nous discriminer non plus;2;909;24/01/2022;8.6.98.900
en mode gratuit 23 pubs toutes les 23 chansons cest quabusé ce matraquage publicitaire est juste horribleobligeant à couper le son en attendant que ça passe pour le bienêtre de mes oreilles cest quoi ce mode aléatoireprès de 1000 chansons enregistrées toujours les mêmes qui passentpour une utilisation quotidiennenul et pénible et impossible de choisir sa chanson je jongle avec youtube seul point énorme choix on peut aller sur dautres applis en même temps;2;905;16/02/2024;8.9.12.599
depuis quelques semaines la lecture de mes playlist ne fonctionne plus correctement je dispose dune playlist de 4000 titres cependant lorsque jactive la lecture aléatoire ou non lenchaînement des titres est bloqué à 80 une fois les 80 titres lus la lecture sarrête si jappuie de nouveau sur play la lecture se relance avec exactement les mêmes titres dans le même ordre et cest dailleurs souvent les mêmes titres qui reviennent cest assez frustrant avec une playlist fournie;4;892;14/03/2022;8.7.10.1262
bonne application les suggestions sont biens les titres variés la recherche de titre fonctionne mais impossible de lécouter ça ne propose quune playlist et le titre passera peutêtre bizarre la lecture aléatoire de nos musiques préférées passent toujours les mêmes les plus récentes jamais les plus anciennes donc on est obligé découter encore et encore les mêmes titres mais trop de pubs limite plus que de la musique;4;886;15/09/2023;8.8.70.532
très bonne application ya pas à dire lorsquon a labonnement je nai pas vraiment trouvé de réelle utilité au mode voiture mais cela ne reste que mon avis en revanche une gestion des titres likés pour le moins catastrophique lorsque je vais sur la page dun artiste je nai plus ses titres likés mais systématiquement la totalité de ses musiques tous les likes se retrouvent dans une vieille playlist jaime façon youtube jaimerais bien ne pas avoir à faire de playlist pour chaque artiste;5;870;16/08/2024;8.9.66.543
application très très bien simple dutilisation et parfaite pour moi très complet et utilisation hors connexion internet que je recommande pour les fondus de musique musiques pour toutes générations confondues et albums cd compris de nos chanteurs préféré super pratique pour chaque moment en voiture ou en balade ou au travail il y a tout les styles musicaux pour 10 euros par mois et trois mois gratuit ça vaut la chandelle;5;856;20/01/2020;8.5.40.195
lapplication est efficace mais je rencontre deux problèmes tout dabord lalgorithme de spotify est médiocre car même en cherchant un morceau spécifique il me propose toujours les mêmes chansons ensuite certaines chansons ne se chargent pas et ce problème persiste sur dautres appareils notamment ceux dapple de plus étant donné le peu de mises à jour récentes de spotify je trouve cela assez dérangeant;3;853;12/03/2024;8.9.20.574
la nouvelle mise à jour a totalement tout changer entre les titres que tu ne trouves plus dans la barre de recherche des titres qui se mettent aléatoirement dans ta playlist sans que tu demandes ou encore le fait que tu ne peux plus choisir la musique que tu veux dans ta playlist sincèrement jespère que cela sera vite réglé;1;840;02/08/2022;8.7.52.1010
avant lapli était génial je pouvais voir les paroles changer de musique quand je le voulais ect maintenant je ne mis retrouve plus ça a totalement changé et pas dans le bon sens je ne peux même pas écouter une musique en entier car ça se coupe tout seul franchement déçue de ce changement si soudain jattends une mise à jour qui serait plus fonctionnelle pour la prochaine fois jai tout essayé et je nai pas trouvé de solution alors jespère quune nouvelle mise à jour men donnera;1;828;24/07/2023;8.8.54.481
pour moi la meilleure application de streaming musical par contre depuis la mise à jour remplaçant le coeur des likes par un elle me saoule un peu pour mettre les musiques dans plusieurs playlists cest vraiment cool rien à dire mais par contre faudrait corriger le fait que même si on décoche la playlist des likes la chanson reste quand même dedans et il faut le faire à part cest une manipulation en plus et cest relou rajout des 2 étoiles quand ça sera fait;3;827;20/11/2023;8.8.88.397
les dernières mises à jour ont corrigé le problème de transmission du nom des pistes en bluetooth avec un autoradio reste des petits problèmes de détection des pistes synchronisées pour écoute hors ligne ou des fois lapplication me dit que rien nest synchro alors que jai passé 3h a synchroniser 17go de musique mais une connexion au réseau résoud le problème;3;826;03/02/2022;8.7.0.1154
jaime beaucoup lapplication mais depuis la nouvelle mise à jour il nest plus possible découter une musique spécifique cest contreintuitif et va selon moi à lencontre du principe dun outil pour écouter des morceaux choisis grands espoirs que ça soit corrigé car autant je nai aucun problème avec les pubs dont je comprends la nécessité autant supprimer une fonction de base de la version gratuite jignore si elle est passée en premium me semble très limite;2;811;20/09/2022;8.7.66.534
bon jen ai marre lapplication est incroyable vraiment mais depuis la dernière mise à jour les cœurs ont disparu et on se retrouve avec les et donc on doit faire plus de manips pour ajouter à une playlist de plus dans les artistes avec plusieurs albums téléchargés quand on a pas activé la connexion il y a un gros bug daffichage qui fait que les mêmes musiques se répètent en boucle sans parler de la musique qui séteint au bout de 10 secondes passées sur une autre application;3;807;23/12/2023;8.8.96.364
de loin la meilleure application que jai sur mon cellulaire comme jadore écouter de la musique jutilise spotify assez régulièrement et je dois dire quelle est vraiment géniale lorsque je télécharge de la musique cela ne prend pas énormément de place sur mon téléphone et on peut écouter des podcasts des balados de la musique etc bref vraiment parfait vous avez pensé à tout merci beaucoup ps mes amies disent que ça beugmais moi cest arrivée seulement une fois en 3 ans ducoup;5;805;18/08/2022;8.7.56.421
jadore cette application mais depuis la mise à jour je suis déçue pour la modification des playlists il y a beaucoup moins de fonctionnalités quauparavant on ne peux plus écouter les extraits des chansons ni ajouter des chansons à partir dune playlist et je ne peux pas voir de quelle chanson exacte il sagit car une chanson peut être issue de différents albums;2;798;22/11/2022;8.7.84.382
application très bien conçue et continuellement améliorée avec des fonctionnalités innovantes très intéressantes podcast vidéo et contenus original exclusifs session découte groupée petit bémol sur cett fonctionnalité session de groupe fonctionnalité très attendue de partage de la même file dattente découte avec plusieurs amis cest extrêmement difficile a faire fonctionner correctement cest très frustrant car cest selon moi le plus de spotify par rapport à ses concurrents;5;794;24/08/2022;8.7.58.459
jadore mais le problème cest quaprès une semaine il y a de plus en plus dannonces et de moins en moins de regarder cette pub pour 30 minutes de musique sans interruption à un moment après 3 chansons il y a 4 annonces et pendant que jécoute de la musique calme pour dormir il y a souvent des annonce de musique hyper forte et avec un rythme super vite et le volume des annonces est toujours 5 fois plus fort que la musique ellemême donc quand on a des écouteurs ça pète les oreilles;3;793;03/08/2020;8.5.69.834
très bonne application cest un pure bonheur de pouvoir écouter la musique en aillant son téléphone en veille ou en se baladant faire du sport sans avoir besoin de connection si lon télécharge les musiques je recommande fortement cette application le prix du premium ne me semble pas exetif vu le contenu mis à notre disposition mais il existe une version gratuite cest bien pour découvrir lappli;5;778;18/10/2022;8.7.74.443
vraiment super application du moins en premium la version gratuite nest pas le top mais cest normal dailleurs les nouvelles mises à jours sont géniales le fait davoir les paroles est super ainsi que les storyline les seuls bémols sont que les paroles des chansons dune autre langue nont pas la possibilité dêtre traduits tout comme les storyline exclusivement en anglais le fait davoir la possibilité de voir les clips serait génial aussi je sais que cest beaucoup demander;5;768;13/01/2022;8.6.94.306
honnêtement spotify cest génial ça me permet de faire beaucoup de bonnes découvertes je suis abonnée depuis plus dun an et je ne peux pas men passer et je constate que de plus en plus de chansons qui mintéressent deviennent disponibles sur la plateforme spotify saméliore de jour en jour et senrichit il y en a pour tous les goûts et on peut même retrouver des artistes peu connus extrêmement satisfaite;5;768;14/03/2021;8.6.8.1094
très bonne application possibilité douvrir dautres applications en même temps sans stopper la chanson ou lémission musiques très variées ainsi que beaucoup de podcasts sur différents thèmes autre chose appréciable lapplication se synchronise avec lordinateur de bord de ma voiture si je reçois un appel lapplication se met en sourdine et reprend à la fin de lappel sans besoin de la rouvrir je recommande;5;756;17/06/2022;8.7.38.663
lapplication spotify génére trop de publicités souvent les mêmes cest agaçant et lassant voire même insupportable je nai pas envie de prendre le pass premium pour ne plus avoir de publicités et il y a sûrement dautres personnes dans le même cas que moi sil y avait vraiment moins de pubs voire pas du tout jaurais donné 5 étoiles sans hésiter;3;750;23/02/2022;8.7.6.1087
jaime beaucoup lapplication jai découvers beaucoup de musique que japprécie grâce à elle toutefois depuis quelques temps je ne peux plus écouter ma musique en jouant à dautres applications alors que je le pouvais cétait un point que jappréciais si cest possible de résoudre cela a moins que cela ne vienne que de mon téléphone merci à vous édit retour du bug après votre mise à jour édit même soucis toujours présent;3;748;23/11/2021;8.6.80.1014
au début lapplication était super mais maintenant je narrive plus à lire les chansons dans lordre que je veux il y a que le mode aléatoire les listes des chansons napparaisse plus comme avant beaucoup de fonctionnalité ne sont plus disponible ça devient galère à utiliser il faudrait une mise à jour pour revenir en arrière;1;747;12/11/2019;8.5.31.676
beaucoup de titres disponibles mais le service gratuit est truffé de publicités ce qui rend lécoute insupportable en moyenne toute les deux chansons sans exagérer il y a entre 2 et 3 pubs de 30 secondes de plus il est impossible de regarder les paroles des chansons parce que il y a un quotas de paroles autorisées pour le service gratuit lapplication pousse juste à prendre labonnement;1;747;25/06/2024;8.9.48.575
ha bon on ne peut plus écouter nos morceaux complètement maintenant y a juste un petit extrait qui se lance pour la plupartil faut se mettre en mode aléatoire pour les avoir en entier cest mal foutu maintenant ça a été bienmais je nai plus de plaisir a utiliser cette application pourquoi imposer laléatoire donc par définition nous retirer le droit de choisir ce quon veut écouter;2;737;04/02/2020;8.5.43.724
la meilleure application découte de musique que jai jamais vu réunis tout ce quil faut en une seule application la version free est un peu moins bien pub et mode aléatoire mais ce mode reste très convenable je suis passé à la version premium et cest incroyable en plus dun mois gratuit ce nest pas très cher 999 par mois pour un seul compte et 1299 pour un compte duo en plus free comme premium lecture en arrière plan ou écran éteint je recommande vivement;5;737;30/11/2023;8.8.90.893
rien à redire très bon service en premium la qualité audio est bonne et le catalogue est très bien fourni jaime beaucoup les playlists personnalisées qui permettent de découvrir de nouveaux sons chaque semaine cest super pratique la possibilité de créer des playlists mixées avec quelquun dautre est super chouette aussi;5;730;19/05/2022;8.7.30.1221
jadore cette appli et spotify au sens large que jemporte dans mon téléphone ma voiture mon pc ma playstation jy retrouve toutes mes musiques préférées et jen découvre dautres grâce aux propositions et playlists par contre depuis la dernière mise à jour les fondus enchaînés ne fonctionnent plus sur lappli et la musique se coupe avant la fin y atil une solution;5;729;20/08/2023;8.8.62.491
je suis très satisfait de spotify depuis plusieurs années maintenant mais il y a quelques changements que vous pourriez apporter pour améliorer lexpérience tout dabord jai énormément apprécié le changement graphique quont les pochettes dalbum dans les playlists faites par vos soins notamment kickass metal par exemple où elles sont en plein écran cest très agréable cependant jaimerais bien pouvoir faire en sorte davoir cette option toujours activée avec mes propres playlists;4;727;16/07/2019;8.5.13.637
ça fait 1 an et demi que jutilise spotify cest la base pour écouter sa musique il y a tout ce que vous cherchez vous pouvez faire des playlist et mettre des sons en file dattente on vous recommende dautres sons en fonction de vos goûts vous pouvez écouter hors connexions les titres enregistrés et pour pas cher surtout si vous êtes étudiant;5;714;21/03/2020;8.5.49.973
bien dans lensemble mis à part que quand on na pas la version premium il y a beaucoup trop de publicités en plus il y en a 2 à chaque fois ou presque et elles durent 30 secondes chacune il y a aussi de nombreuses chansons avec lesquelles il ny a pas de paroles ou elles ne sont pas synchronisées cest aussi dommage quon puisse zapper que 6 fois sans spotify premium;4;713;14/08/2023;8.8.58.473
très bonne application et bonne qualité de son je suis completement satisfaite du contenus musical cependant par rapport aux pubs je comprends quil y en ait sachant que je nai pas premium cest normal mais au bout dun moment quand les deux même pubs passent toute les trois musiques pendant deux heures ça devient un peu lourd si cétait possible de faire passer des pubs différentes a chaque fois ça marrangerais beaucoup et je pense que je ne suis pas las seule a le penser;4;703;29/08/2024;8.9.68.456
belle plateforme musicale que jutilise gratuitement parfois je suppose que lorsque lon souscrit à un abonnement payant ce doit être royal cependant je dois avouer que je me dirige plus volontiers vers youtube music à chacun ses goûts néanmoins vous ne déméritez absolument pas alors je vous attribue les 5 étoiles bonne route à vous merci de faire venir la musique sur nos smartphones;5;694;12/03/2024;8.9.20.574
spotify serait une formidable application pour écouter de la musique si leur premier but nétait pas de faire dépenser bien trop dargent aux consommateurs leur abonnement est je trouve bien trop cher et encore quand tu utilises lapplication gratuite il est impossible de choisir le son que tu veux de swipper les sons à ta guise ou découter un album du début jusquà la fin en addition leur algorithme est de très mauvaise qualité vu le nombre de fois où les mêmes chansons sont proposées;1;690;26/08/2024;8.9.68.456
incroyable quune appli aussi connue ne fonctionne pas quand jécoute de la musique il ny a pas de bordereau ni dans lappli ni en notif ni sur écran de verrouillage ce qui fait que je ne peux pas savoir laquelle est en train de passer ni passer à la suivante ni mettre sur pause ce qui fait que chaque fois que je dois mettre sur pause le seul moyen est de désinstaller lappli de plus la musique se coupe toutes les quelques secondes pendant 12 seconde insupportable;1;684;15/04/2022;8.7.22.1125
chose promise chose dûe avec lajout des paroles dans spotify je nattends rien de plus lapplication est excellente elle permet laccès à la musique en permanence car téléchargé les radios qui permettent de trouver des titres similaires à un titre est perfectible mais déjà très très pratique les mixs divers permettent des découvertes de nouveaux titres tous les jours ce qui est fort appréciable enfin le daily personnalisé est un must pour ceux qui font des trajets le matin;5;680;18/11/2021;8.6.80.1007
un must have un nombre incroyable de playlists et dartistes sur cette plateforme la musique qui continue dun appareil à lautre et puis la possibilité davoir des files dattente ou des playlists à plusieurs sans oublier le mode horsligne pour avoir sa musique dans le métro ils ont en plus récemment mis la lecture dun album dans lordre par défaut la lecture aléatoire dun album peut être agaçante ne manque plus quà faire des classements un peu plus qualitatifs et ciblés;5;673;20/09/2022;8.7.66.534
défaut quand on est sur la page de lartiste il ny a pas de liste des titres ni une option pour chercher un titre pas pratique du tout sinon cette appli est très bien plein de chanson de jeunes artistes peu connus suite à la dernière mise à jour la lecture des titres dune playlist sarrête tout seul à la fin de la musique il faut relancer la playlist à chaque fois affreux;2;668;20/12/2022;8.7.92.521
application avec de nombreuses musiques et artistes cependant trop de bugs à répétition la dernière en date étant que les musiques se coupent toutes seules en plein milieu malgré une bonne connexion internet obligé de retourner sur lapplication pour relancer la musique en cours musique qui repart depuis le début javais un abonnement premium depuis plusieurs années mais au vu de mon utilisation et des bugs quil y a lorsque je lutilise je viens de le résilier dommage;2;662;12/03/2024;8.9.20.574
jaimais beaucoup spotify même la version gratuite après 30 minutes de musique il y avait une pub de 30 secondes pas idéal mais je trouvais que ce prix à payer pour du contenu gratuit était justifié maintenant lorsque je mets une liste de lecture jai 2 publicités de suite de 30 secondes après 2 parfois 3 chansons cest abusé je retourne sur youtube;2;650;20/05/2021;8.6.28.700
je recommande à tout le monde même si labonnement pour 1 utilisateur reste tout de même assez onéreux lapplication répond à toutes nos attentes pour améliorer encore plus lexpérience utilisateur cela serait une bonne idée davoir une option lecture aléatoire comme sur une playlist de base mais cette foisci sappliquant à toutes nos playlist créée ou du moins à celles choisies pour éviter de devoir changer de playlist ou pour amplifier la variété de nos écoutes;5;646;09/12/2021;8.6.84.1240
je tiens à exprimer mon appréciation envers lapplication cependant je décerne 4 étoiles au lieu de 5 en raison dun problème que jai rencontré plus précisément les nouveaux morceaux ajoutés à une playlist sont systématiquement positionnés en bas de la liste plutôt quen haut cette disposition pose une contrainte pour ceux dentre nous qui préfèrent éviter la lecture aléatoire car cela peut entraîner la répétition fréquente de certaines chansons une mise à jours sera grandement apprécié;4;640;22/01/2024;8.9.6.458
alors lapplication est vraiment bien et jaimerais mettre plus mais après même pas quelque semaines sans raison apparente je ne peux plus sélectionner les musiques de ma playlist je peux uniquement lire dans le même ordre pour chaque playlist impossible de faire retour sur une musique je peux juste écouter et rien dautre honnêtement ça ne serait pas un trop gros problème si en plus je nétais pas coincé sur la même playlist;2;639;28/07/2022;8.7.48.1062
lappli est bien simple dutilisation les pubs cest pas grave 2 fois la même pub pour spotify premium et ça toute les demiheures jai rien dit mais depuis peu pas moyen de voir les musiques dun artiste ou dun album cest vachement moins pratique voir impossible de découvrir le répertoire dun nouvel artiste va falloir comprendre que cest pas avec un bourrinage de crâne sur le premium que lon va payer un abonnement si ça continue je vais chez deezer à bon entendeur;2;636;13/07/2020;8.5.66.1002
spotify le meilleur de tous spotify est pour moi la meilleure plateforme de musique linterface est conviviale simple pratique on peut créer ses propres albums les classer par ordre alphabétique et les partager facilement à notre entourage on peut basculer la musique à tout moment dun appareil à un autre sur nimporte quel appareil bluetooth ou wifi bref la musique nous suit partout dès que lon change de pièce même en voiture pour moi spotify fait mieux que ses concurrents;5;630;29/09/2022;8.7.68.568
il va être urgent de permettre de personnaliser la page daccueil linterface tiktok est insupportable au point que je passe plus par lapplication mais par mon navigateur internet je vais rapidement passer chez deezer si aucun correctif nest apporté edit spotify a apporté un correctif qui reprend une interface plus classique avec un popup vous proposant de passer à linterface tiktok lapplication redevient agréable au quotidien merci pour votre réactivité;4;625;11/05/2023;8.8.32.508
franchement cette application est super pratique je lutilise même sur console franchement je la conseille à toutes les personnes voulant découvrir des chansons ou bien pour écouter vos artistes préférés et si jamais même sans le premium les annonces sont très peu fréquentes 30 secondes de pub pour 56 chansons écouter donc je la recommande même sans payer dabonnement elle est très bien;4;614;31/10/2021;8.6.74.1176
appli buggée et non corrigée depuis 5 mois le menu avec les 3 points en face dun morceau fait planter appli je ne suis pas le seul dans ce cas cela dure depuis 5 mois impossible de gérer une liste de lecture le bug est signalé par plusieurs utilisateurs sur leur site au service client depuis août et rien nest fait malgré plusieurs désinstallation réinstallation reboot toujours le problème le mois prochain je résilie mon abonnement premium famille si rien nest fait;1;605;23/12/2019;8.5.36.747
je trouve que la version gratuite est extrêmement délaissée on ne peut même plus écouter dextrait de musique donc on choisi un peu au piff et on enlève la musique si on laime pas que je trouve assez embêtant il y a aussi le fait quon ne peut pas choisir exactement la musique que lon veut écouter de plus les maudites pub à nen plus finir chaque 2 musiques max il y à 2min de pub et cest toujours les mêmes cest pourquoi je ne met que deux étoiles à fixer sil vous plaît;1;574;29/06/2023;8.8.46.529
dhabitude cest une application que jadore super facile pour écouter la musique que jaime en tout temps et en découvrir de nouvelles également cependant depuis près dun mois il y a de plus en plus derreurs et de bugs rendant lexpérience très désagréable la musique sarrête sans explication laffichage des chansons est fausse je suis super déçue jaimerais énormément que vous remediez aux problèmes sinon ça ne vaut pas la peine de payer pour un abonnement;3;561;04/10/2020;8.5.78.909
spotify est vraiment une appli géniale le son est de super qualité on peut continuer découter la musique même si nous sommes sur dautres appli ou que notre téléphone est en veille cest vraiment super malheureusement on ne peut pas changer de musique plus de 6 fois par heure au delà de ce délais si lon veut écouter une musique en particulier il faudra attendre quelle passe les pubs sont un peu gênantes mais rien de grave je la conseille vraiment;5;557;02/02/2023;8.8.4.518
lappli est top mais depuis la mise à jour après avoir ouvert lappli la barre de lecture apparaît et au bout dune minute disparaît avec la chanson qui continue dêtre lue cependant quand je verrouille mon téléphone la musique sarrête au bout de 1020 secondes et on ne peux plus sélectionner une partie de la chanson étant donné que la barre de lecture napparaît plus;4;546;13/04/2022;8.7.20.1261
jai choisi spotify qui sintègre mieux à la domotique avec spotify connect vous nêtes pas loin de la perfection votre algorithme est globalement très bon linterface est agréable des fonctionnalités novatrices qui vous distingue des autres très bien mais ne vous égarez pas vous êtes les seuls à augmenter vos tarifs mais à ne pas proposer un son sans perte en restant sur du compressé aussi bon soitil cest dommage;3;541;09/09/2023;8.8.66.563
spotify cétait bien avant leur modification maintenant la liste des morceaux téléchargés et dautres choses nexistent plus dans la catégorie artistes auxquels on est abonné on a beau télécharger leurs morceaux on nous ramène toujours au menu de lartiste et non aux morceaux téléchargés donc on ne peux pas écouter hors connexion faites quelque chose sil vous plaît et vite;3;540;29/03/2019;8.4.97.807
parfait avec deux seuls regrets 1 il me semble impossible de retirer une chanson hormis les toutes dernières téléchargées lorsque après quelques mois ou semaines on désire quelle quen soit la raison la supprimer de la liste 2 le mode aléatoire repasse trop souvent les mêmes chansons alors que je dispose de plusieurs heures de musique;4;534;22/08/2022;8.7.56.421
